Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
custom-hand-stamped-baseball-lovers-pet-id-tag,,,,,,,,Baseball,,Add Charm,,No,BASEBALLLVR-TAG-1002,55,shopify,0,deny,manual,15,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0760/5531/products/BASEBALLLVR-TAG-1000_IMG3_a393f353-aa15-41e1-a2b1-cc232a5b3eb0.jpeg?v=1426894596,,,,,,,,,,,,,,,,,,,lb
custom-hand-stamped-baseball-lovers-pet-id-tag,,,,,,,,Baseball,,Add Charm,,Add Birthstone,BASEBALLLVR-TAG-1003,55,shopify,0,deny,manual,18,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0760/5531/products/BASEBALLLVR-TAG-1000_IMG4_2f35c4a3-2334-4161-a9fc-f3eb955d31ce.jpeg?v=1426894596,,,,,,,,,,,,,,,,,,,lb
custom-hand-stamped-baseball-lovers-pet-id-tag,,,,,,,,Baseball Hat,,No,,No,BASEBALLLVR-TAG-1004,55,shopify,0,deny,manual,12,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0760/5531/products/BASEBALLLVR-TAG-1000_IMG5_14d2cef4-c9d8-4306-88c7-59f84f90a99b.jpeg?v=1426894596,,,,,,,,,,,,,,,,,,,lb
custom-hand-stamped-baseball-lovers-pet-id-tag,,,,,,,,Baseball Hat,,No,,Add Birthstone,BASEBALLLVR-TAG-1005,55,shopify,0,deny,manual,15,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,lb
custom-hand-stamped-baseball-lovers-pet-id-tag,,,,,,,,Baseball Hat,,Add Charm,,No,BASEBALLLVR-TAG-1006,55,shopify,0,deny,manual,15,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,lb
custom-hand-stamped-baseball-lovers-pet-id-tag,,,,,,,,Baseball Hat,,Add Charm,,Add Birthstone,BASEBALLLVR-TAG-1007,55,shopify,0,deny,manual,18,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,lb
hand-stamped-wedding-pet-tag-my-moms-the-bride,Hand Stamped Wedding Pet Tag - My mom's the bride,"18G, 1 inch, heart aluminum <br><br>This is perfect for your pet to wear during your wedding! It is a special day for them too! It can be worn by itself or added to your pet's current tags. <br><br>If there is something that you would like that you don't see, please feel free to message me. I would be happy to work with you to create a custom piece.<br><br>* A percentage of each order goes to animal rescue organizations *<br><br>",The Loving Paw,ID Tag,ID Tag,TRUE,Title,Default Title,,,,,MOMSTHEBRIDE-TAG-1000,55,shopify,0,deny,manual,12,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0760/5531/products/MOMSTHEBRIDE-TAG-1000_IMG1_c236ae0c-22cc-487f-b69f-b7acd8ba23b8.jpeg?v=1426894600,,FALSE,Hand Stamped Customizable 'my mom's the bride' Pet ID Tag. Personalize Your Own Today! ,"The Loving Paw's Assortment of Hand Stamped, Customizable, Tag Line ID's Will Adorn Your Pet While Supporting Animal Rescue Organizations With Every Order.",,,,,,,,,,,,,,,lb
hand-stamped-wedding-pet-tag-my-moms-the-bride,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0760/5531/products/MOMSTHEBRIDE-TAG-1000_IMG2_0db89d98-53ff-4f60-828a-362c8471b250.jpeg?v=1426894600,,,,,,,,,,,,,,,,,,,
hand-stamped-wedding-pet-tag-my-moms-the-bride,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0760/5531/products/MOMSTHEBRIDE-TAG-1000_IMG3_c28306f9-fe0e-4992-9d4a-4ecc4a784274.jpeg?v=1426894600,,,,,,,,,,,,,,,,,,,
hand-stamped-wedding-pet-tag-my-moms-the-bride,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0760/5531/products/MOMSTHEBRIDE-TAG-1000_IMG4_f5f66145-d785-408d-ae4a-7e317ace8ff0.jpeg?v=1426894600,,,,,,,,,,,,,,,,,,,
hand-stamped-wedding-pet-tag-my-moms-the-bride,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0760/5531/products/MOMSTHEBRIDE-TAG-1000_IMG5_944dcee5-5b49-48fd-b5f4-c2dbbfa2a08d.jpeg?v=1426894600,,,,,,,,,,,,,,,,,,,
cotton-canvas-adopt-red-duffle-bag,Cotton Canvas 'Adopt' Red Duffle Bag,"This listing is for one red 'Adopt' duffle bag. Live large and pack light with this canvas duffel bag. Features an adjustable shoulder strap, plus one internal pocket and one outer pocket.<br><br>100% Cotton Canvas<br>21\"" length x 6.5\"" width x 13.5\"" height<br>Unisex design<br><br>This is a great way to promote animal rescue. A portion of proceeds goes to animal rescue organizations around the country. :)",The Loving Paw,Duffle Bag,Duffle Bag,TRUE,Title,Default Title,,,,,REDADOPT-DUFFLE-1000,226,shopify,2,deny,manual,38,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0760/5531/products/REDADOPT-DUFFLE-1000_IMG1_811026f4-6719-4d21-886f-7a8da709e962.jpeg?v=1426894603,,FALSE,,,,,,,,,,,,,,,,,lb
cotton-canvas-adopt-red-duffle-bag,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0760/5531/products/REDADOPT-DUFFLE-1000_IMG2_6a9f8aea-2c61-4e33-ae25-d472bfef69d9.jpeg?v=1426894603,,,,,,,,,,,,,,,,,,,
cotton-canvas-adopt-red-duffle-bag,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0760/5531/products/REDADOPT-DUFFLE-1000_IMG3_965c95bc-24b0-4188-afac-3de52771b976.jpeg?v=1426894603,,,,,,,,,,,,,,,,,,,
cotton-canvas-adopt-red-duffle-bag,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0760/5531/products/REDADOPT-DUFFLE-1000_IMG4_8dc585f6-6547-499e-876f-e95c591a3f9a.jpeg?v=1426894603,,,,,,,,,,,,,,,,,,,
